story_id,snapshot_ts,snapshot_iso,score,descendants,kids_count,is_dead,is_deleted
46890306,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890297,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890294,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890284,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890281,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46890280,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890261,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46890244,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46890242,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890217,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890208,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46890198,1770232581,2026-02-04T19:16:21+00:00,2,0,1,0,0
46890174,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46890167,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890141,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890117,1770232581,2026-02-04T19:16:21+00:00,1,1,1,0,0
46890110,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890095,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890087,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890084,1770232581,2026-02-04T19:16:21+00:00,1,0,1,0,0
46890080,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46890077,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890064,1770232581,2026-02-04T19:16:21+00:00,6,0,0,0,0
46890060,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46890057,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46890054,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46890047,1770232581,2026-02-04T19:16:21+00:00,2,1,1,0,0
46890034,1770232581,2026-02-04T19:16:21+00:00,2,0,1,0,0
46890027,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46890013,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46889985,1770232581,2026-02-04T19:16:21+00:00,2,2,1,0,0
46889978,1770232581,2026-02-04T19:16:21+00:00,9,0,1,0,0
46889961,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889957,1770232581,2026-02-04T19:16:21+00:00,1,3,2,0,0
46889952,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
46889922,1770232581,2026-02-04T19:16:21+00:00,2,2,2,0,0
46889915,1770232581,2026-02-04T19:16:21+00:00,2,0,0,0,0
46889913,1770232581,2026-02-04T19:16:21+00:00,1,0,0,0,0
